model_id,bucket,tokens,uas,las
M0,ROOT,416,69.71,69.71
M0,1,3979,95.07,93.26
M0,2-3,3536,89.51,81.25
M0,4-7,1144,63.55,50.7
M0,8+,942,45.12,37.26
M0p,ROOT,416,71.63,71.63
M0p,1,3979,95.93,94.02
M0p,2-3,3536,90.78,82.72
M0p,4-7,1144,64.42,51.57
M0p,8+,942,49.79,43.52
M1,ROOT,416,81.01,81.01
M1,1,3979,96.15,93.69
M1,2-3,3536,91.94,87.25
M1,4-7,1144,69.14,62.24
M1,8+,942,61.46,55.31
M2,ROOT,416,60.1,60.1
M2,1,3979,93.42,88.56
M2,2-3,3536,83.6,70.11
M2,4-7,1144,51.92,40.03
M2,8+,942,36.41,29.19
M2b,ROOT,416,86.3,86.3
M2b,1,3979,96.15,93.77
M2b,2-3,3536,92.9,88.07
M2b,4-7,1144,73.08,67.22
M2b,8+,942,63.59,58.7
M3,ROOT,416,94.23,94.23
M3,1,3979,97.49,95.93
M3,2-3,3536,95.31,92.0
M3,4-7,1144,84.79,78.85
M3,8+,942,79.19,74.52
