label,gold_count,M0p_las,M1_las,las_gain,M0p_uas,M1_uas,uas_gain
advcl,109,16.51,55.96,39.45,44.04,70.64,26.6
obl:agent,33,42.42,81.82,39.4,93.94,93.94,0.0
conj,319,36.99,61.76,24.77,60.5,67.4,6.9
acl:relcl,70,35.71,60.0,24.29,48.57,70.0,21.43
nsubj:pass,65,60.0,76.92,16.92,86.15,92.31,6.16
appos,112,34.82,50.89,16.07,59.82,58.93,-0.89
obl:arg,187,51.34,63.64,12.3,79.68,78.07,-1.61
acl,107,49.53,61.68,12.15,50.47,64.49,14.02
parataxis,37,8.11,18.92,10.81,32.43,37.84,5.41
nsubj,519,76.49,85.93,9.44,83.82,91.71,7.89
root,416,71.63,81.01,9.38,71.63,81.01,9.38
ccomp,55,50.91,58.18,7.27,69.09,80.0,10.91
obl:mod,348,53.45,60.34,6.89,71.55,75.29,3.74
expl:subj,46,63.04,69.57,6.53,89.13,95.65,6.52
obj,344,78.2,83.43,5.23,94.19,91.28,-2.91
punct,1186,71.16,76.14,4.98,71.16,76.14,4.98
expl:pv,29,72.41,75.86,3.45,100.0,100.0,0.0
nmod,856,77.45,80.72,3.27,84.0,85.16,1.16
iobj,32,75.0,78.12,3.12,100.0,100.0,0.0
fixed,105,68.57,71.43,2.86,69.52,73.33,3.81
mark,244,89.34,90.98,1.64,89.75,92.62,2.87
cc,256,88.67,90.23,1.56,88.67,90.62,1.95
cop,153,90.85,92.16,1.31,92.81,93.46,0.65
xcomp,115,72.17,73.04,0.87,85.22,85.22,0.0
flat:name,122,91.8,92.62,0.82,93.44,96.72,3.28
amod,485,95.26,95.26,0.0,95.67,95.46,-0.21
nummod,110,95.45,95.45,0.0,95.45,95.45,0.0
det,1459,99.45,99.18,-0.27,99.73,99.52,-0.21
case,1309,98.7,98.09,-0.61,98.93,98.32,-0.61
aux:pass,62,96.77,93.55,-3.22,100.0,100.0,0.0
advmod,462,85.93,82.25,-3.68,86.8,85.28,-1.52
aux:tense,132,96.21,89.39,-6.82,98.48,98.48,0.0
