label,gold_count,M2_las,M2b_las,las_gain,M2_uas,M2b_uas,uas_gain
nsubj:pass,65,20.0,84.62,64.62,64.62,95.38,30.76
obl:agent,33,24.24,81.82,57.58,84.85,96.97,12.12
advcl,109,7.34,55.96,48.62,34.86,66.06,31.2
iobj,32,37.5,84.38,46.88,100.0,100.0,0.0
obl:arg,187,29.41,72.73,43.32,64.17,83.42,19.25
acl:relcl,70,18.57,61.43,42.86,28.57,68.57,40.0
conj,319,21.0,62.07,41.07,44.51,67.08,22.57
obj,344,44.48,83.14,38.66,83.43,92.73,9.3
appos,112,20.54,55.36,34.82,58.93,66.96,8.03
expl:subj,46,45.65,78.26,32.61,91.3,95.65,4.35
flat:name,122,62.3,90.98,28.68,85.25,94.26,9.01
ccomp,55,40.0,67.27,27.27,58.18,83.64,25.46
root,416,60.1,86.3,26.2,60.1,86.3,26.2
acl,107,34.58,60.75,26.17,47.66,67.29,19.63
mark,244,68.85,93.44,24.59,79.92,93.44,13.52
parataxis,37,2.7,24.32,21.62,35.14,43.24,8.1
nsubj,519,61.85,82.27,20.42,69.75,91.14,21.39
obl:mod,348,42.24,60.63,18.39,60.63,79.89,19.26
punct,1186,62.65,80.44,17.79,62.82,80.44,17.62
xcomp,115,67.83,80.87,13.04,84.35,86.96,2.61
advmod,462,73.38,85.71,12.33,81.6,87.88,6.28
nmod,856,68.93,81.19,12.26,76.29,84.46,8.17
aux:tense,132,85.61,96.21,10.6,93.94,98.48,4.54
cc,256,81.25,91.8,10.55,82.42,92.19,9.77
amod,485,84.33,94.02,9.69,89.07,94.02,4.95
cop,153,86.27,92.81,6.54,88.24,94.12,5.88
nummod,110,90.0,96.36,6.36,92.73,96.36,3.63
det,1459,97.67,99.38,1.71,98.63,99.66,1.03
case,1309,96.87,98.17,1.3,97.4,98.47,1.07
aux:pass,62,95.16,95.16,0.0,100.0,100.0,0.0
expl:pv,29,58.62,58.62,0.0,100.0,100.0,0.0
fixed,105,71.43,64.76,-6.67,71.43,66.67,-4.76
