model_id,bucket,sentences,tokens,uas,las
M0,1-10,57,429,88.34,80.89
M0,11-20,132,2019,85.49,79.84
M0,21-30,116,2891,85.02,78.48
M0,31-40,68,2354,83.43,77.7
M0,41+,43,2324,80.16,75.22
M0p,1-10,57,429,88.11,83.22
M0p,11-20,132,2019,87.17,82.02
M0p,21-30,116,2891,85.99,79.66
M0p,31-40,68,2354,85.05,79.27
M0p,41+,43,2324,81.97,76.68
M1,1-10,57,429,89.51,84.85
M1,11-20,132,2019,89.8,86.28
M1,21-30,116,2891,88.41,84.12
M1,31-40,68,2354,88.11,84.07
M1,41+,43,2324,84.21,80.29
M2,1-10,57,429,85.08,75.06
M2,11-20,132,2019,78.95,70.83
M2,21-30,116,2891,78.69,68.97
M2,31-40,68,2354,78.97,70.65
M2,41+,43,2324,76.03,67.86
M2b,1-10,57,429,93.24,88.81
M2b,11-20,132,2019,90.44,86.97
M2b,21-30,116,2891,89.83,85.3
M2b,31-40,68,2354,89.68,86.15
M2b,41+,43,2324,84.81,81.54
M3,1-10,57,429,95.57,93.01
M3,11-20,132,2019,93.51,90.94
M3,21-30,116,2891,93.7,90.42
M3,31-40,68,2354,93.67,90.65
M3,41+,43,2324,92.3,89.63
